City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
256,nishinoomote,30.7333,131.0,292.97,80,100,7.9,JP,1713751987
257,chiredzi,-21.05,31.6667,289.38,68,0,1.03,ZW,1713752470
258,tekeli,44.83,78.8239,290.37,47,0,2.46,KZ,1713752341
259,port alfred,-33.5906,26.891,295.68,92,100,7.78,ZA,1713752470
260,xunchang,28.4543,104.715,289.99,86,99,0.54,CN,1713752471
261,lamu,-2.2717,40.902,299.28,85,100,4.57,KE,1713752471
262,constitucion,-35.3333,-72.4167,288.27,88,100,8.84,CL,1713752471
263,saudarkrokur,65.7461,-19.6394,275.31,78,24,7.11,IS,1713752471
264,smithers,54.7804,-127.1743,283.33,40,75,6.17,CA,1713752471
265,fort bragg,35.139,-79.006,284.23,92,100,2.06,US,1713752472
266,kirakira,-10.4544,161.9205,302.15,78,94,2.86,SB,1713752472
267,altai,46.3722,96.2583,270.85,28,1,1.94,MN,1713752472
268,zarghun shahr,32.8473,68.4457,282.77,70,89,1.87,AF,1713752473
269,narvik,68.4384,17.4272,270.82,67,0,4.42,NO,1713752473
270,almeirim,-1.5233,-52.5817,297.15,96,100,1.13,BR,1713752473
271,anna regina,7.2644,-58.5077,299.19,76,100,3.34,GY,1713752474
272,nebraska city,40.6767,-95.8592,286.04,44,0,2.57,US,1713752474
273,tsiombe,-25.3,45.4833,290.88,93,0,0.96,MG,1713752474
274,flying fish cove,-10.4217,105.6791,300.97,94,100,4.63,CX,1713752474
275,pruzhany,52.5567,24.4644,276.79,88,100,6.88,BY,1713752474
276,vorkuta,67.5,64.0,256.19,98,100,3.97,RU,1713752475
277,nizhnesortymskiy,62.4397,71.7603,261.43,89,93,7.03,RU,1713752475
278,pisco,-13.7,-76.2167,294.18,88,20,5.14,PE,1713752399
279,pionerskiy,54.9508,20.2275,277.12,75,100,7.98,RU,1713752475
280,hanceville,34.0607,-86.7675,284.61,62,65,4.32,US,1713752475
281,kailua-kona,19.6406,-155.9956,301.13,75,40,4.12,US,1713752257
282,anapa,44.8908,37.3239,278.34,100,20,3.0,RU,1713752316
283,broome,42.2506,-75.833,277.53,59,75,3.6,US,1713752477
284,qaqortoq,60.7167,-46.0333,272.1,89,100,0.82,GL,1713752477
285,dunedin,-45.8742,170.5036,285.82,60,21,5.81,NZ,1713752190
286,kharan,28.5833,65.4167,295.2,31,0,0.61,PK,1713752477
287,pak phanang,8.3511,100.202,305.16,69,74,1.52,TH,1713752478
288,hotan,37.0997,79.9269,293.58,20,41,1.98,CN,1713752478
289,vila velha,-20.3297,-40.2925,293.12,94,0,2.06,BR,1713752423
290,marsciano,42.9059,12.3359,281.6,85,74,1.37,IT,1713752478
291,sydney mines,46.2367,-60.2177,278.71,82,75,4.63,CA,1713752478
292,andratx,39.5755,2.4202,287.28,69,70,2.88,ES,1713752478
293,tommot,58.9564,126.2925,278.82,73,93,3.15,RU,1713752479
294,wewak,-3.5534,143.6268,303.23,67,99,3.77,PG,1713752479
295,udachny,66.4167,112.4,271.73,95,100,4.04,RU,1713752479
296,pandan,14.0453,124.1694,302.85,69,51,3.97,PH,1713752479
297,laguna,38.421,-121.4238,302.14,33,0,4.63,US,1713752480
298,andalusia,31.3085,-86.4833,288.07,70,75,2.06,US,1713752232
299,rio grande,-32.035,-52.0986,292.92,86,99,3.4,BR,1713752233
300,north platte,41.1239,-100.7654,284.88,48,0,4.12,US,1713752370
301,keetmanshoop,-26.5833,18.1333,292.66,37,66,1.54,NA,1713752480
302,salamanca,40.8333,-6.0,279.26,49,7,5.95,ES,1713752481
303,cavalaire-sur-mer,43.174,6.5272,284.11,70,85,3.29,FR,1713752481
304,beira,-19.8436,34.8389,293.2,88,20,1.03,MZ,1713752481
305,kolokani,13.5728,-8.0339,301.65,53,100,7.13,ML,1713752481
306,sinabang,2.4803,96.3801,301.84,80,100,1.22,ID,1713752481
307,brookings,44.3114,-96.7984,284.15,37,0,3.09,US,1713752482
308,coronel dorrego,-38.7187,-61.2873,284.76,53,100,3.88,AR,1713752482
309,happy valley-goose bay,53.3168,-60.3315,276.32,100,100,2.06,CA,1713752482
310,polyarnyy,69.1989,33.4478,258.83,92,92,3.5,RU,1713752482
311,undy,51.5753,-2.8145,280.54,79,82,2.15,GB,1713752482
312,georgetown,5.4112,100.3354,305.11,71,20,2.06,MY,1713752295
313,egilsstadir,65.2653,-14.3948,278.1,48,0,1.54,IS,1713752483
